Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price ,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TCS,EQ,08-Sep-23,3455.25,3455.25,3465.00,3435.05,3445.00,3441.90,3446.91,1518917.00,5235563741.25,88984.00,970792.00,63.91
TCS,EQ,11-Sep-23,3441.90,3462.00,3485.70,3445.00,3481.00,3480.65,3471.77,1783604.00,6192269892.25,111418.00,1246670.00,69.90
TCS,EQ,12-Sep-23,3480.65,3492.00,3589.90,3483.00,3572.60,3580.80,3550.35,4476016.00,15891401853.45,242752.00,2546536.00,56.89
TCS,EQ,13-Sep-23,3580.80,3571.10,3588.85,3545.00,3561.50,3567.85,3568.13,1754929.00,6261806697.40,138829.00,1031177.00,58.76
TCS,EQ,14-Sep-23,3567.85,3570.05,3597.70,3545.60,3562.35,3560.05,3563.35,2604721.00,9281527868.20,146192.00,1162755.00,44.64
TCS,EQ,15-Sep-23,3560.05,3567.85,3607.35,3562.45,3591.55,3598.30,3591.93,2952897.00,10606611878.75,139252.00,1749955.00,59.26
TCS,EQ,18-Sep-23,3598.30,3580.05,3619.30,3575.25,3605.00,3606.15,3605.10,1395753.00,5031835082.65,97296.00,1005563.00,72.04
TCS,EQ,20-Sep-23,3606.15,3580.00,3625.00,3580.00,3600.10,3606.05,3612.14,1649396.00,5957855338.40,127927.00,976624.00,59.21
TCS,EQ,21-Sep-23,3606.05,3588.55,3605.00,3528.00,3586.00,3585.30,3559.97,2004073.00,7134447228.50,151219.00,892038.00,44.51
TCS,EQ,22-Sep-23,3585.30,3584.00,3633.75,3565.05,3604.00,3603.65,3605.09,1989083.00,7170827508.35,152937.00,1063284.00,53.46
TCS,EQ,25-Sep-23,3603.65,3602.50,3620.00,3558.65,3569.80,3577.15,3579.70,1238778.00,4434448253.85,82519.00,847701.00,68.43
TCS,EQ,26-Sep-23,3577.15,3567.60,3594.95,3536.00,3590.00,3585.70,3561.51,1726062.00,6147386173.95,113798.00,1220758.00,70.73
TCS,EQ,27-Sep-23,3585.70,3590.00,3614.00,3555.70,3586.00,3589.30,3587.16,1541134.00,5528296992.85,104230.00,991891.00,64.36
TCS,EQ,28-Sep-23,3589.30,3600.00,3602.80,3527.35,3549.00,3536.75,3558.09,1755753.00,6247135882.45,127091.00,775346.00,44.16
TCS,EQ,29-Sep-23,3536.75,3537.20,3568.45,3505.55,3525.00,3528.60,3536.95,2243791.00,7936167438.85,134776.00,1282164.00,57.14
TCS,EQ,03-Oct-23,3528.60,3534.20,3534.20,3480.10,3507.10,3513.85,3508.19,1948148.00,6834465531.05,134041.00,1188071.00,60.98
TCS,EQ,04-Oct-23,3513.85,3486.30,3548.00,3477.30,3545.00,3537.75,3504.95,1788138.00,6267337422.00,102259.00,1115764.00,62.40
TCS,EQ,05-Oct-23,3537.75,3554.00,3624.00,3551.20,3590.00,3589.35,3589.48,2990768.00,10735300327.60,195202.00,1344658.00,44.96
TCS,EQ,06-Oct-23,3589.35,3591.00,3634.95,3575.05,3621.25,3621.40,3606.29,2075691.00,7485547134.95,157117.00,1217280.00,58.64
TCS,EQ,09-Oct-23,3621.40,3645.05,3679.00,3631.00,3633.00,3638.35,3652.75,4233074.00,15462357801.50,337303.00,2313193.00,54.65
TCS,EQ,10-Oct-23,3638.35,3640.05,3648.00,3601.35,3629.50,3628.90,3623.90,1848148.00,6697511578.25,170957.00,898605.00,48.62
TCS,EQ,11-Oct-23,3628.90,3650.00,3650.00,3605.00,3613.00,3609.90,3625.72,2426417.00,8797500442.75,151957.00,1477594.00,60.90
TCS,EQ,12-Oct-23,3609.90,3575.00,3588.65,3538.10,3543.00,3542.55,3555.40,4241281.00,15079440683.50,314201.00,2149379.00,50.68
TCS,EQ,13-Oct-23,3542.55,3530.00,3577.00,3525.00,3574.30,3570.85,3562.28,2890357.00,10296267661.05,262330.00,1770918.00,61.27
TCS,EQ,16-Oct-23,3570.85,3566.00,3574.65,3519.10,3521.00,3524.05,3539.03,1671104.00,5914086791.50,162600.00,1113479.00,66.63
TCS,EQ,17-Oct-23,3524.05,3530.00,3534.15,3503.35,3509.00,3507.05,3516.16,1672065.00,5879254819.95,125942.00,1200270.00,71.78
TCS,EQ,18-Oct-23,3507.05,3511.00,3522.70,3484.00,3492.50,3487.25,3500.28,1408245.00,4929245451.05,147692.00,915176.00,64.99
TCS,EQ,19-Oct-23,3487.25,3469.50,3476.85,3451.90,3454.80,3455.65,3461.86,1514545.00,5243145783.65,164438.00,814343.00,53.77
TCS,EQ,20-Oct-23,3455.65,3450.40,3499.50,3444.05,3491.85,3494.55,3485.40,1481211.00,5162609717.10,142361.00,811900.00,54.81
TCS,EQ,23-Oct-23,3494.55,3473.00,3478.95,3401.30,3409.15,3410.15,3442.60,1106272.00,3808455848.35,126787.00,635413.00,57.44
TCS,EQ,25-Oct-23,3410.15,3390.50,3425.00,3377.20,3390.55,3390.10,3398.15,1518537.00,5160213346.45,133032.00,959916.00,63.21
TCS,EQ,26-Oct-23,3390.10,3368.05,3373.70,3330.00,3331.80,3336.75,3346.35,1984471.00,6640734038.60,203800.00,1206477.00,60.80
TCS,EQ,27-Oct-23,3336.75,3350.00,3362.00,3337.00,3350.00,3350.95,3351.03,1108851.00,3715795757.45,112673.00,626899.00,56.54
TCS,EQ,30-Oct-23,3350.95,3350.00,3382.85,3333.75,3381.00,3378.55,3368.57,910972.00,3068672170.25,74251.00,442422.00,48.57
TCS,EQ,31-Oct-23,3378.55,3399.00,3399.00,3350.05,3371.80,3368.75,3368.00,999811.00,3367364685.15,109355.00,584532.00,58.46
TCS,EQ,01-Nov-23,3368.75,3355.00,3371.60,3311.00,3311.40,3330.65,3347.22,1563475.00,5233296947.80,112623.00,1148529.00,73.46
TCS,EQ,02-Nov-23,3330.65,3343.20,3375.95,3343.20,3363.00,3360.10,3363.98,1245384.00,4189448412.50,97073.00,542537.00,43.56
TCS,EQ,03-Nov-23,3360.10,3382.00,3387.90,3344.30,3351.00,3350.90,3362.79,1402598.00,4716646465.75,111516.00,955820.00,68.15
TCS,EQ,06-Nov-23,3350.90,3375.00,3392.30,3359.00,3385.00,3380.25,3374.03,1099852.00,3710928578.40,69041.00,864446.00,78.60
TCS,EQ,07-Nov-23,3380.25,3378.00,3404.15,3366.00,3371.55,3370.45,3378.26,1191144.00,4023994967.20,82322.00,853147.00,71.62
TCS,EQ,08-Nov-23,3370.45,3371.45,3401.95,3369.55,3382.65,3381.55,3387.91,992899.00,3363852490.70,91615.00,630418.00,63.49
TCS,EQ,09-Nov-23,3381.55,3390.10,3391.50,3342.05,3350.00,3347.45,3363.59,2112352.00,7105080612.55,146431.00,1260477.00,59.67
TCS,EQ,10-Nov-23,3347.45,3338.00,3347.45,3322.35,3341.00,3333.45,3331.70,1338557.00,4459665543.60,93667.00,930907.00,69.55
TCS,EQ,12-Nov-23,3333.45,3350.00,3359.00,3345.00,3358.90,3357.30,3355.70,173346.00,581697254.35,22226.00,116967.00,67.48
TCS,EQ,13-Nov-23,3357.30,3356.00,3356.00,3327.00,3332.00,3331.55,3333.43,1030990.00,3436731318.90,92128.00,825729.00,80.09
TCS,EQ,15-Nov-23,3331.55,3383.10,3413.00,3356.05,3408.60,3404.30,3390.15,2059802.00,6983037380.85,117652.00,1449421.00,70.37
TCS,EQ,16-Nov-23,3404.30,3430.05,3529.35,3414.20,3497.00,3497.85,3484.46,3951984.00,13770516229.10,256300.00,1866641.00,47.23
TCS,EQ,17-Nov-23,3497.85,3497.85,3524.50,3492.55,3499.00,3502.45,3510.08,2021292.00,7094891279.55,159877.00,1111855.00,55.01
TCS,EQ,20-Nov-23,3502.45,3491.25,3533.90,3491.25,3520.00,3519.60,3518.20,1475621.00,5191524462.85,133758.00,917412.00,62.17
TCS,EQ,21-Nov-23,3519.60,3519.60,3539.05,3501.00,3510.00,3510.20,3525.61,1807236.00,6371610015.95,141954.00,1360143.00,75.26
TCS,EQ,22-Nov-23,3510.20,3500.00,3532.65,3481.10,3530.50,3530.15,3510.71,1798051.00,6312427531.70,121170.00,1149027.00,63.90
TCS,EQ,23-Nov-23,3530.15,3530.00,3544.00,3500.00,3507.00,3508.25,3516.84,2729804.00,9600272250.30,170315.00,1933265.00,70.82
TCS,EQ,24-Nov-23,3508.25,3494.25,3504.55,3453.00,3454.00,3457.10,3474.52,1989733.00,6913359986.45,137682.00,1075004.00,54.03
TCS,EQ,28-Nov-23,3457.10,3457.10,3481.25,3433.00,3473.30,3470.15,3454.10,1689195.00,5834649202.90,120747.00,1125100.00,66.61
TCS,EQ,29-Nov-23,3470.15,3481.00,3518.00,3475.80,3514.60,3513.75,3503.48,1441634.00,5050729225.70,140282.00,920188.00,63.83
TCS,EQ,30-Nov-23,3513.75,3499.45,3516.65,3481.00,3487.90,3487.60,3492.69,3266235.00,11407956559.40,136958.00,2362566.00,72.33
TCS,EQ,01-Dec-23,3487.60,3500.00,3516.95,3490.05,3512.00,3511.65,3503.53,1172141.00,4106636662.55,90309.00,710553.00,60.62
TCS,EQ,04-Dec-23,3511.65,3544.65,3547.80,3498.00,3514.45,3512.45,3514.58,1625213.00,5711934381.15,105864.00,958947.00,59.00
TCS,EQ,05-Dec-23,3512.45,3538.00,3538.00,3502.80,3533.60,3531.60,3520.66,1377656.00,4850257950.20,74749.00,818570.00,59.42
TCS,EQ,06-Dec-23,3531.60,3532.60,3612.85,3525.15,3600.60,3604.10,3573.48,1896572.00,6777360136.50,109178.00,1028717.00,54.24
TCS,EQ,07-Dec-23,3604.10,3605.00,3630.55,3591.70,3618.00,3614.90,3615.53,1967653.00,7114113153.35,169670.00,1157011.00,58.80
TCS,EQ,08-Dec-23,3614.90,3633.00,3645.00,3602.05,3625.00,3626.70,3622.26,1641155.00,5944690506.00,111965.00,774207.00,47.17
TCS,EQ,11-Dec-23,3626.70,3622.90,3653.00,3615.00,3643.00,3642.90,3638.96,1102503.00,4011962538.60,79129.00,763415.00,69.24
TCS,EQ,12-Dec-23,3642.90,3638.95,3698.40,3631.00,3665.50,3672.10,3673.19,2236866.00,8216432575.75,193557.00,1398051.00,62.50
TCS,EQ,13-Dec-23,3672.10,3643.55,3650.00,3563.00,3597.00,3593.55,3596.72,3850968.00,13850861323.25,307799.00,2493877.00,64.76
TCS,EQ,14-Dec-23,3593.55,3630.00,3678.00,3627.60,3670.00,3667.25,3664.15,3290396.00,12056488520.30,217977.00,2136355.00,64.93
TCS,EQ,15-Dec-23,3667.25,3666.70,3895.95,3666.70,3871.00,3861.00,3810.10,8531230.00,32504850648.60,363820.00,4817725.00,56.47
TCS,EQ,18-Dec-23,3861.00,3858.10,3929.00,3830.15,3856.00,3859.20,3872.72,2521612.00,9765502705.80,178532.00,1156164.00,45.85
TCS,EQ,19-Dec-23,3859.20,3845.00,3855.10,3790.00,3808.00,3816.20,3814.98,2004435.00,7646876716.95,133647.00,1088070.00,54.28
TCS,EQ,20-Dec-23,3816.20,3827.25,3898.80,3766.55,3774.00,3780.05,3841.02,2586083.00,9933185211.45,173222.00,1345951.00,52.05
TCS,EQ,21-Dec-23,3780.05,3756.25,3806.70,3743.35,3796.65,3787.50,3783.40,1517562.00,5741545164.75,141897.00,661412.00,43.58
TCS,EQ,22-Dec-23,3787.50,3800.00,3845.95,3762.00,3814.00,3824.00,3805.11,2413058.00,9181961989.95,210826.00,1329736.00,55.11
